Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Winner,HREMONTADA,AREMONTADA,Referee
E0,30/09/2023,12:30,Aston Villa,Brighton,6,1,H,3,0,H,Aston Villa,0,0,A Madley
E0,30/09/2023,15:00,Bournemouth,Arsenal,0,4,A,0,2,A,Arsenal,0,0,M Salisbury
E0,30/09/2023,15:00,Everton,Luton,1,2,A,1,2,A,Luton,0,0,A Taylor
E0,30/09/2023,15:00,Man United,Crystal Palace,0,1,A,0,1,A,Crystal Palace,0,0,C Kavanagh
E0,30/09/2023,15:00,Newcastle,Burnley,2,0,H,1,0,H,Newcastle,0,0,T Bramall
E0,30/09/2023,15:00,West Ham,Sheffield United,2,0,H,2,0,H,West Ham,0,0,G Scott
E0,30/09/2023,15:00,Wolves,Man City,2,1,H,1,0,H,Wolves,0,0,C Pawson
E0,30/09/2023,17:30,Tottenham,Liverpool,2,1,H,1,1,D,Tottenham,0,0,S Hooper
E0,01/10/2023,14:00,Nott'm Forest,Brentford,1,1,D,0,0,D,Draw,0,0,P Tierney
E0,02/10/2023,20:00,Fulham,Chelsea,0,2,A,0,2,A,Chelsea,0,0,T Robinson
E0,03/10/2023,19:30,Luton,Burnley,1,2,A,0,1,A,Burnley,0,0,P Bankes
E0,07/10/2023,12:30,Luton,Tottenham,0,1,A,0,0,D,Tottenham,0,0,J Brooks
E0,07/10/2023,15:00,Burnley,Chelsea,1,4,A,1,1,D,Chelsea,0,0,S Attwell
E0,07/10/2023,15:00,Everton,Bournemouth,3,0,H,2,0,H,Everton,0,0,D Coote
E0,07/10/2023,15:00,Fulham,Sheffield United,3,1,H,0,0,D,Fulham,0,0,S Barrott
E0,07/10/2023,15:00,Man United,Brentford,2,1,H,0,1,A,Man United,1,0,A Madley
E0,07/10/2023,17:30,Crystal Palace,Nott'm Forest,0,0,D,0,0,D,Draw,0,0,C Pawson
E0,08/10/2023,14:00,Brighton,Liverpool,2,2,D,1,2,A,Draw,0,0,A Taylor
E0,08/10/2023,14:00,West Ham,Newcastle,2,2,D,1,0,H,Draw,0,0,P Bankes
E0,08/10/2023,14:00,Wolves,Aston Villa,1,1,D,0,0,D,Draw,0,0,R Jones
E0,08/10/2023,16:30,Arsenal,Man City,1,0,H,0,0,D,Arsenal,0,0,M Oliver
E0,21/10/2023,12:30,Liverpool,Everton,2,0,H,0,0,D,Liverpool,0,0,C Pawson
E0,21/10/2023,15:00,Bournemouth,Wolves,1,2,A,1,0,H,Wolves,0,1,P Tierney
E0,21/10/2023,15:00,Brentford,Burnley,3,0,H,1,0,H,Brentford,0,0,J Smith
E0,21/10/2023,15:00,Man City,Brighton,2,1,H,2,0,H,Man City,0,0,R Jones
E0,21/10/2023,15:00,Newcastle,Crystal Palace,4,0,H,3,0,H,Newcastle,0,0,T Robinson
E0,21/10/2023,15:00,Nott'm Forest,Luton,2,2,D,0,0,D,Draw,0,0,S Barrott
E0,21/10/2023,17:30,Chelsea,Arsenal,2,2,D,1,0,H,Draw,0,0,C Kavanagh
E0,21/10/2023,20:00,Sheffield United,Man United,1,2,A,1,1,D,Man United,0,0,M Oliver
